,route_name,first,second,company_id,regulative_institution,route_number,route_regularity,drives_per_day,bus_comfort_level,bus_age,license_data,company_name,number_of_buses
373,Кривий Ріг-Каховка,Кривий Ріг,Каховка,3930197274841286409,Укртрансбезпека ,75/76,щоденно,один ,"М3, ІІІ",Починаючи з 2005 року,05.08.2014-04.08.2019,"ТОВ ""Каховське АТП 16506"", адреса: вул.Мелітопольська, 72, м.Каховка, Херсонська область, 74800, АЕ 420304",1+1
374,Фастів-Житомир,Фастів,Житомир,1315696331226485434,Укртрансбезпека ,75/76,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 2006 року,21.11.2012-20.11.2017,"ТОВ ""Фастів-Автотранс"", адреса: вул. Червоноармійсьа, буд.37, кв.76, м.Фастів, Київська область, АВ 531579",1+1
375,Бердичів-Жежелів,Бердичів,Жежелів,7087968075108586914,Укртрансбезпека ,75/76,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2001 року,08.07.2015-07.07.2020,"ТОВ ""Бердичівське АТП 11837"", адреса: вул.Чапаєва, 4, м.Бердичів, Житомирська область, 13312, АГ 592009",1+1
376,Лисичанськ-Харків,Лисичанськ,Харків,4881565920586150378,Укртрансбезпека ,75/76,щоденно,один ,"М3, ІІІ",Починаючи з 2006 року,24.09.2015-23.09.2020,"ПП ""Сєвєродонецьке ""Комфорт-Авто"", адреса: вул.Танкістів, буд.27, м.Сєвєродонецьк, Луганська область, 93408, AE 422837",1+1
377,Волочиськ-Підволочиськ,Волочиськ,Підволочиськ,1906563555313723133,Укртрансбезпека ,75/76,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1994 року,19.02.2015-18.02.2020,"ФОП Олійник В.М., адреса: вул. Огієнка, буд. 26, м.Волочиськ, Хмельницька область, АГ 587274",1+1
378,Миколаїв-Одеса,Миколаїв,Одеса,445624744664251704,Укртрансбезпека ,75/76,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 2005 року,11.04.2015-10.04.2020,"ТОВ ""Миколаїв-Авто"", адреса:вул.Казарського, 4, м.Миколаїв, 54007, АВ 544368",1+1
379,Чернівці-Трускавець,Чернівці,Трускавець,0,Укртрансбезпека ,77/78,щоденно,один ,"М3, ІІІ",,,,2+1
380,Нетішин-Рівне,Нетішин,Рівне,2787554646156780995,Укртрансбезпека ,77/78,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2008 року,20.10.2011-19.10.2016,"ФОП Гей О.О., адреса: пр-т Незалежності, 3, кв. 181, м.Нетішин, Хмельницька область, 30100, АГ 504950",1+1
381,Дніпропетровськ-Запоріжжя,Дніпропетровськ,Запоріжжя,1911377942007965453,Укртрансбезпека ,77/78,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 2001 року,22.09.2013-21.09.2018,"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",1+1
382,Миколаїв-Севастополь,Миколаїв,Севастополь,3971168946630923345,Укртрансбезпека ,77/78,в період з 01.03 по 09.09 виконується щоденно,один ,"М3, ІІІ",Починаючи з 1995 року,20.03.2014-24.03.2019-паритет,"ПП Фірма ""ЗАН"", адреса: пр-т Жовтневий, 27, кв.5, м.Миколаїв, АД 033966",2+1
383,Остер-Київ,Остер,Київ,4541846925848090281,Укртрансбезпека ,77/78,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2013 року,06.03.2014-05.03.2019,"ПП ""Веттор"", адреса: просп. Миру, буд. 49-А, офіс 902, м.Чернігів, АГ 584653",1+1
384,Чернігів-Київ,Чернігів,Київ,0,Укртрансбезпека ,77/78,щоденно,один ,"М2, М3, В, ІІІ",,,,1+1
385,Донецьк-Дніпропетровськ,Донецьк,Дніпропетровськ,8485665623626956349,Укртрансбезпека ,77/78,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,18.08.2013-17.08.2018,"ТОВ ""Авто-Експрес"", адреса: вул. Шевцової, 26, м.Волноваха, Донецька область, 85700, АЕ 572534",1+1
386,Тернопіль-Хмільник,Тернопіль,Хмільник,0,Укртрансбезпека ,77/78,Прямий та зворотній рейси виконуються Пон.Вівт.Чт.Пт.Суб.Нед.,один ,"М3, ІІІ",,,,1+1
387,Волочиськ-Підволочиськ,Волочиськ,Підволочиськ,1906563555313723133,Укртрансбезпека ,77/78,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1994 року,19.02.2015-18.02.2020,"ФОП Олійник В.М., адреса: вул. Огієнка, буд. 26, м.Волочиськ, Хмельницька область, АГ 587274",1+1
388,Одеса-Миколаїв,Одеса,Миколаїв,7256341242326556047,Укртрансбезпека ,77/78,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 2004 року,04.12.2015-10.04.2020,"ПрАТ ""Ширяївське АТП 15167"", адреса: вул. Малиновського, буд. 7, м.Ширяєве, Одеська область",1+1
389,Черкаси-Київ,Черкаси,Київ,7806029988673516758,Мінінфраструктури,79/80,щоденно,один ,"М3, ІІІ",Починаючи з 1999 року,06.12.2016-05.12.2021,"ТОВ ""Сервіс-Авто-2005"", адреса: вул. Героїв Дніпра, буд. 65, кв. 61, м.Черкаси, АЕ 187027",1+1
390,Львів-Городенка,Львів,Городенка,1570745560501091652,Укртрансбезпека ,79/80,щоденно,один ,"М3, ІІІ",Починаючи з 1992 року,20.04.2014-19.04.2019,"ПАТП ""Авто-Транс-Захід"", адреса: вул. Володимира Великого, буд.21, м.Городенка, Івано-Франківська область, АЕ 265258",1+1
391,Дніпропетровськ-Запоріжжя,Дніпропетровськ,Запоріжжя,1911377942007965453,Укртрансбезпека ,79/80,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1996 року,29.09.2013-28.09.2018,"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",1+1
392,Миколаїв-Севастополь,Миколаїв,Севастополь,3971168946630923345,Укртрансбезпека ,79/80,щоденно,один ,"М3, ІІІ",Починаючи з 1988 року,17.02.2001-16.02.2016,"ПП Фірма ""ЗАН"", адреса: пр-т Жовтневий, 27, кв.5, м.Миколаїв, АД 033966",2+1
393,Рівне-Борбин,Рівне,Борбин,0,Укртрансбезпека ,79/80,щоденно,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
394,Харків-Кролевець,Харків,Кролевець,6859562192004593079,Укртрансбезпека ,79/80,щоденно,один ,"М3, ІІІ",Починаючи з 1990 року,09.04.2015-18.02.2020,"ФОП Калуженов В.В, адреса: вул.Роганська, 148, к.98, м.Харків, АГ 504996",2+1
395,Бердичів-Жежелів,Бердичів,Жежелів,7087968075108586914,Укртрансбезпека ,79/80,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2001 року,08.07.2015-07.07.2020,"ТОВ ""Бердичівське АТП 11837"", адреса: вул.Чапаєва, 4, м.Бердичів, Житомирська область, 13312, АГ 592009",1+1
396,Заболотів-Чернівці,Заболотів,Чернівці,7640699442816791116,Укртрансбезпека ,79/80,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1989 року,10.07.2011-09.07.2016,"ФОП Шиманський С.В., адреса: вул. Відродження, буд. 6А, с.Заболотів, Снятинський район, Івано-Франківська обл, АГ 589772",1+1
397,Волочиськ-Підволочиськ,Волочиськ,Підволочиськ,1906563555313723133,Укртрансбезпека ,79/80,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1994 року,19.02.2015-18.02.2020,"ФОП Олійник В.М., адреса: вул. Огієнка, буд. 26, м.Волочиськ, Хмельницька область, АГ 587274",1+1
398,Одеса-Миколаїв,Одеса,Миколаїв,7256341242326556047,Укртрансбезпека ,79/80,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 2004 року,04.12.2015-10.04.2020,"ПрАТ ""Ширяївське АТП 15167"", адреса: вул. Малиновського, буд. 7, м.Ширяєве, Одеська область",1+1
399,Лисичанськ-Харків,Лисичанськ,Харків,8077653204590214029,Укртрансбезпека ,81/82,щоденно,один ,"М3, ІІІ",Починаючи з 2006 року,17.01.2013-16.01.2018,"ФОП Саян М.Р., адреса: просп. Гвардійський, буд.81, кв.60, м.Сєвєродонецьк, Луганська область, АД 033930",2+1
400,Дніпропетровськ-Новотроїцьке,Дніпропетровськ,Новотроїцьке,1730273972075553678,Укртрансбезпека ,81/82,щоденно,один ,"М3, ІІІ",Починаючи з 1988 року,23.06.2011-22.06.2016,"ТДВ ""Дніпропетровське АТП-11228"", адреса: вул. Берегова, 210, м.Дніпропетровськ, 49021",2+1
401,Дніпропетровськ-Запоріжжя,Дніпропетровськ,Запоріжжя,1911377942007965453,Укртрансбезпека ,81/82,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1996 року,29.09.2013-28.09.2018,"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",1+1
402,Первомайськ-Одеса,Первомайськ,Одеса,6176540561719545825,Мінінфраструктури ,81/82,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,21.09.2016-20.09.2021,"ПП ""Євротранс Юг"", адреса: вул. Новогрушівська, 9, с.Грушівка, Первомайський район, Миколаївська область, АВ 508607",1+1
403,Христинівка-Київ,Христинівка,Київ,8047777239260318990,Укртрансбезпека ,81/82,щоденно,один ,"М3, ІІІ",Починаючи з 2007 року,01.07.2014-30.06.2019,"ПрАТ ""Монастирищенське АТП 17140"", адреса: вул.Леніна, 173, м.Монастирище, Черкаська область, 19100, АГ 587259",1+1
404,Тернопіль-Східниця,Тернопіль,Східниця,0,Укртрансбезпека ,81/82,щоденно,один ,"М3, ІІІ",,,,1+1
405,Радомишль-Тетерів,Радомишль,Тетерів,5003257066975210596,Укртрансбезпека ,81/82,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1989 року,09.05.2015-08.05.2016,"ПАТ ""Радомишльське АТП 11848"", адреса:вул.Русанівська, 23, м.Радомишль, Житомирська область, АД 065064",1+1
406,Нова Одеса-Хмельницький,Нова Одеса,Хмельницький,7667183426923393744,Мінінфраструктури,81/82,щоденно,один ,"М3, ІІІ",Починаючи з 1993 року,11.04.2015-10.04.2020,"ТДВ ""Оріон-Авто"", адреса: вул. Казарського, 4, м.Миколаїв, 54007, АВ 562984",2+1
407,Чернігів-Київ,Чернігів,Київ,0,Укртрансбезпека ,81/82,щоденно,один ,"М2, М3, В, ІІІ",,,,1+1
408,Заболотів-Чернівці,Заболотів,Чернівці,7640699442816791116,Укртрансбезпека ,81/82,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1989 року,10.07.2011-09.07.2016,"ФОП Шиманський С.В., адреса: вул. Відродження, буд. 6А, с.Заболотів, Снятинський район, Івано-Франківська обл, АГ 589772",1+1
409,Волочиськ-Підволочиськ,Волочиськ,Підволочиськ,1906563555313723133,Укртрансбезпека ,81/82,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1994 року,19.02.2015-18.02.2020,"ФОП Олійник В.М., адреса: вул. Огієнка, буд. 26, м.Волочиськ, Хмельницька область, АГ 587274",1+1
410,Славута-Рівне,Славута,Рівне,4309602023415879087,Укртрансбезпека ,81/82,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 1995 року,30.08.2013-29.08.2018,"ТОВ ""Мівас"", адреса: вул. Садова 4, м.Славута, Хмельницька область, АЕ 421905",1+1
411,Сєвєродонецьк-Бердянськ,Сєвєродонецьк,Бердянськ,7681672634482771783,Мінінфраструктури,83/84,щоденно,один ,"М3, ІІІ",Починаючи 3 2006 року,29.12.2017-28.12.2022,"ПрАТ ""Маріуполь-Авто"", адреса: вул.Макара Мазая, буд.6, м.Маріуполь, Донецька область, АГ 588928",2+1
412,Київ-Каховка,Київ,Каховка,6652089729515107073,Укртрансбезпека ,83/84,щоденно,один ,"М3, ІІІ",Починаючи з 1994 року,05.07.2014-04.07.2019,"ВАТ ""Бериславське АТП 16537"", адреса: пров. Садовий, 2, м.Берислав, Херсонська область, АД 062644",2+1
413,Дніпропетровськ-Запоріжжя,Дніпропетровськ,Запоріжжя,1911377942007965453,Укртрансбезпека ,83/84,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1996 року,29.09.2013-28.09.2018,"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",1+1
414,Херсон-Миколаїв,Херсон,Миколаїв,3984922080784079923,Укртрансбезпека ,83/84,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2011 року,31.12.2011-30.12.2016,"ТОВ ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",1+1
415,Радомишль-Тетерів,Радомишль,Тетерів,5003257066975210596,Укртрансбезпека ,83/84,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1989 року,09.05.2015-08.05.2016,"ПАТ ""Радомишльське АТП 11848"", адреса:вул.Русанівська, 23, м.Радомишль, Житомирська область, АД 065064",1+1
416,Луцьк-Рівне,Луцьк,Рівне,848856767841197891,Укртрансбезпека ,83/84,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2009 року,16.06.2011-15.06.2016,"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",1+1
417,Короп-Київ,Короп,Київ,7545660551961074057,Укртрансбезпека ,83/84,щоденно,один ,"М3, ІІІ",Починаючи з 1998 року,16.11.2013-15.11.2018,"ФОП Нерета О.М., адреса: вул.Чернігівська, 15, кв.8, смт.Короп, Коропський район, Чернігівська област, АГ 504507",1+1
418,"Коббеве (б/в ""Зоря"")-Одеса","Коббеве (б/в ""Зоря"")",Одеса,7667183426923393744,Укртрансбезпека ,83/84,в період з 01.06 по 31.08 виконується щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2006 року,18.11.2011-17.11.2016,"ТДВ ""Оріон-Авто"", адреса: вул. Казарського, 4, м.Миколаїв, 54007, АВ 562984",1+1
419,Волочиськ-Підволочиськ,Волочиськ,Підволочиськ,1906563555313723133,Укртрансбезпека ,83/84,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1994 року,19.02.2015-18.02.2020,"ФОП Олійник В.М., адреса: вул. Огієнка, буд. 26, м.Волочиськ, Хмельницька область, АГ 587274",1+1
420,Сєверодонецьк-Харків,Сєверодонецьк,Харків,4881565920586150378,Укртрансбезпека ,85/86,щоденно,один ,"М3, ІІІ",Починаючи з 2007 року,24.09.2015-23.09.2020,"ПП ""Сєвєродонецьке ""Комфорт-Авто"", адреса: вул.Танкістів, буд.27, м.Сєвєродонецьк, Луганська область, 93408, AE 422837",1+1
421,Світловськ-Кременчук,Світловськ,Кременчук,2868974049715825678,Укртрансбезпека ,85/86,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1999 року,18.02.2014-17.02.2019,"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",1+1
422,Херсон-Миколаїв,Херсон,Миколаїв,3984922080784079923,Укртрансбезпека ,85/86,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2011 року,31.12.2011-30.12.2016,"ТОВ ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",1+1
423,Радомишль-Тетерів,Радомишль,Тетерів,5003257066975210596,Укртрансбезпека ,85/86,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1989 року,09.05.2015-08.05.2016,"ПАТ ""Радомишльське АТП 11848"", адреса:вул.Русанівська, 23, м.Радомишль, Житомирська область, АД 065064",1+1
424,Луцьк-Рівне,Луцьк,Рівне,848856767841197891,Укртрансбезпека ,85/86,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2007 року,12.05.2011-11.05.2016,"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",1+1
425,Короп-Київ,Короп,Київ,7545660551961074057,Укртрансбезпека ,85/86,щоденно,один ,"М3, ІІІ",Починаючи з 2007 року,09.02.2014-08.02.2019,"ФОП Нерета О.М., адреса: вул.Чернігівська, 15, кв.8, смт.Короп, Коропський район, Чернігівська област, АГ 504507",1+1
426,Полтава-Київ,Полтава,Київ,2893715155176716434,Укртрансбезпека ,85/86,щоденно,один ,"М3, ІІІ",Починаючи з 1992 року,21.04.2013-20.04.2018,"ТОВ ""Авто-ОВІ"", адреса: проспект Московський, буд. 248, корп. Г, кв. 42, м.Харків, АЕ 421550",1+1
427,Краматорськ-Дніпропетровськ,Краматорськ,Дніпропетровськ,5276259994315077893,Укртрансбезпека ,85/86,щоденно,один ,"М3, ІІІ",Починаючи з 2007 року,22.09.2011-21.09.2016,"ПАТ ""Костянтинівське АТП-11409"", адреса: вул.Тельмана, 1, м.Костянтинівка, Донецька область, АА 784754",1+1
428,Городок-Львів,Городок,Львів,113248889599188430,Укртрансбезпека ,85/86,щоденно,один ,"М3, ІІІ",Починаючи з 1994 року,21.11.2012-20.11.2017,"ПП Степаненко О.А., адреса: б-р Л.Українки, 21-А, кв.6, м.Київ, ",1+1
429,"Коблеве (б/в ""Зоря"")-Одеса","Коблеве (б/в ""Зоря"")",Одеса,7667183426923393744,Укртрансбезпека ,85/86,в період з 01.06 по 31.08 виконується щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2006 року,18.11.2011-17.11.2016,"ТДВ ""Оріон-Авто"", адреса: вул. Казарського, 4, м.Миколаїв, 54007, АВ 562984",1+1
430,Волочиськ-Підволочиськ,Волочиськ,Підволочиськ,1906563555313723133,Укртрансбезпека ,85/86,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1994 року,19.02.2015-18.02.2020,"ФОП Олійник В.М., адреса: вул. Огієнка, буд. 26, м.Волочиськ, Хмельницька область, АГ 587274",1+1
431,Світловськ-Кременчук,Світловськ,Кременчук,2868974049715825678,Укртрансбезпека ,87/88,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1999 року,18.02.2014-17.02.2019,"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",1+1
432,Радомишль-Тетерів,Радомишль,Тетерів,5003257066975210596,Укртрансбезпека ,87/88,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1989 року,09.05.2015-08.05.2016,"ПАТ ""Радомишльське АТП 11848"", адреса:вул.Русанівська, 23, м.Радомишль, Житомирська область, АД 065064",1+1
433,Рівне-Луцьк,Рівне,Луцьк,848856767841197891,Укртрансбезпека ,87/88,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2010 року,12.12.2015-11.12.2020,"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",1+1
434,Кобеляки-Харків,Кобеляки,Харків,4230743531225602928,Укртрансбезпека ,87/88,щоденно,один ,"М3, ІІІ",Починаючи з 2006 року,25.11.2015-24.11.2020,"ТОВ ""АВА-Експрес"", адреса: вул.Чураївни, 5, кв. 157, м.Полтава, 36037, АЕ 266377",1+1
435,Дніпропетровськ-Донецьк,Дніпропетровськ,Донецьк,0,Укртрансбезпека ,87/88,щоденно,один ,"М3, ІІІ",,,,1+1
436,Хмільник-Тернопіль,Хмільник,Тернопіль,1911511571476742474,Укртрансбезпека ,87/88,щоденно,один ,"М3, ІІІ",Починаючи з 1997 року,29.10.2015-26.05.2020,"ПП "" АТП Кривешко"", адреса: Немирівське шоссе, буд. 92-в, с.Вінницькі Хутори, Вінницький район, Вінницька область, АГ 592041",1+1
437,"Коблеве (б/в ""Зоря"")-Одеса","Коблеве (б/в ""Зоря"")",Одеса,7667183426923393744,Укртрансбезпека ,87/88,в період з 01.06 по 31.08 виконується щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2006 року,18.11.2011-17.11.2016,"ТДВ ""Оріон-Авто"", адреса: вул. Казарського, 4, м.Миколаїв, 54007, АВ 562984",1+1
438,Ялта-Миколаїв,Ялта,Миколаїв,7667183426923393744,Укртрансбезпека ,87/88,в період з 01.06 по 31.09 виконується щоденно,один ,"М3, ІІІ",Починаючи з 1991 року,20.02.2011-19.02.2016,"ТДВ ""Оріон-Авто"", адреса: вул. Казарського, 4, м.Миколаїв, 54007, АВ 562984",2+1
439,Волочиськ-Підволочиськ,Волочиськ,Підволочиськ,1906563555313723133,Укртрансбезпека ,87/88,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1994 року,19.02.2015-18.02.2020,"ФОП Олійник В.М., адреса: вул. Огієнка, буд. 26, м.Волочиськ, Хмельницька область, АГ 587274",1+1
440,Красний Луч-Горлівка,Красний Луч,Горлівка,0,Укртрансбезпека ,89/90,щоденно,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
441,Дніпропетровськ-Запоріжжя,Дніпропетровськ,Запоріжжя,1911377942007965453,Укртрансбезпека ,89/90,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2003 року,11.10.2013-10.10.2018,"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",1+1
442,Світловськ-Кременчук,Світловськ,Кременчук,2868974049715825678,Укртрансбезпека ,89/90,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1999 року,18.02.2014-17.02.2019,"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",1+1
443,Умань-Бершадь,Умань,Бершадь,381580302010992688,Укртрансбезпека ,89/90,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1996 року,29.07.2015-28.07.2020,"ТОВ ""Круїз-авто"", адреса: вул.Вокзальна,1 Б, м.Умань, Черкаська область, 20300, АГ 593931",1+1
444,Сімферополь-Миколаїв,Сімферополь,Миколаїв,3971168946630923345,Укртрансбезпека ,89/90,щоденно,один ,"М3, ІІІ",Починаючи з 1988 року,15.01.2011-14.01.2016,"ПП Фірма ""ЗАН"", адреса: пр-т Жовтневий, 27, кв.5, м.Миколаїв, АД 033966",2+1
445,Львів-Любша,Львів,Любша,0,Укртрансбезпека ,89/90,щоденно,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
446,Монастирище-Вінниця,Монастирище,Вінниця,8047777239260318990,Укртрансбезпека ,89/90,Прямий та зворотній рейси виконуються Пт.Нед.,один ,"М2, М3, В, ІІІ",Починаючи 2006 року,26.12.2015-25.12.2020,"ПрАТ ""Монастирищенське АТП 17140"", адреса: вул.Леніна, 173, м.Монастирище, Черкаська область, 19100, АГ 587259",1+1
447,Луцьк-Хмельницький,Луцьк,Хмельницький,2456034545568368456,Укртрансбезпека ,89/90,щоденно,один ,"М3, ІІІ",Починаючи з 2007 року,11.02.2011-10.02.2016,"ФОП Котельчук С.М., адреса: вул.Васильєва, 9, м.Ківерці, Волинська область, АГ 591929",1+1
448,"Коблеве (б/в ""Зоря"")-Одеса","Коблеве (б/в ""Зоря"")",Одеса,7667183426923393744,Укртрансбезпека ,89/90,в період з 01.06 по 31.08 виконується щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2006 року,18.11.2011-17.11.2016,"ТДВ ""Оріон-Авто"", адреса: вул. Казарського, 4, м.Миколаїв, 54007, АВ 562984",1+1
449,Заболотів-Чернівці,Заболотів,Чернівці,7640699442816791116,Укртрансбезпека ,89/90,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1989 року,10.07.2011-09.07.2016,"ФОП Шиманський С.В., адреса: вул. Відродження, буд. 6А, с.Заболотів, Снятинський район, Івано-Франківська обл, АГ 589772",1+1
450,Волочиськ-Підволочиськ,Волочиськ,Підволочиськ,1906563555313723133,Укртрансбезпека ,89/90,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1994 року,19.02.2015-18.02.2020,"ФОП Олійник В.М., адреса: вул. Огієнка, буд. 26, м.Волочиськ, Хмельницька область, АГ 587274",1+1
451,Славута-Рівне,Славута,Рівне,4309602023415879087,Укртрансбезпека ,89/90,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 1995 року,30.08.2013-29.08.2018,"ТОВ ""Мівас"", адреса: вул. Садова 4, м.Славута, Хмельницька область, АЕ 421905",1+1
452,Дніпропетровськ-Запоріжжя,Дніпропетровськ,Запоріжжя,1911377942007965453,Укртрансбезпека ,91/92,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1996 року,29.09.2013-28.09.2018,"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",1+1
453,Умань-Бершадь,Умань,Бершадь,381580302010992688,Укртрансбезпека ,91/92,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1996 року,29.07.2015-28.07.2020,"ТОВ ""Круїз-авто"", адреса: вул.Вокзальна,1 Б, м.Умань, Черкаська область, 20300, АГ 593931",1+1
454,Долинське-Кривий Ріг,Долинське,Кривий Ріг,2209875308356376801,Укртрансбезпека ,91/92,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1988 року,22.09.2011-21.09.2016,"ПАТ ""Північтранс"", адреса: 21 км Старокиївської дороги, м.Одеса, АГ 587970",1+1
455,Талалаївка-Київ,Талалаївка,Київ,6905801995030017321,Укртрансбезпека ,91/92,щоденно,один ,"М3, ІІІ",Починаючи з 1987 року,29.01.2015-28.01.2020,"ФОП Кирпенко М.П. , адреса:вул.Мічуріна, 18, смт.Талалаївка, Талалаївський район, Чернігівська облас, АГ 589638",1+1
456,Київ-Радомишль,Київ,Радомишль,8597570019522866103,Укртрансбезпека ,91/92,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2000 року,17.03.2011-16.03.2016,"ТОВ ""АПВЄ-Авто"", адреса:вул. Ірпінська, 72, кв.70, м.Київ, АВ 610697",1+1
457,Зіньків-Київ,Зіньків,Київ,678406492246124091,Укртрансбезпека ,91/92,щоденно,один ,"М3, ІІІ",Починаючи з 2011 року,31.12.2011-30.12.2016,"ПАТ ""АТП 15339"", адреса: вул.Котовського,11, м.Зіньків, Полтавська область, АВ 610990",1+1
458,Чигирин-Кіровоград,Чигирин,Кіровоград,0,Укртрансбезпека ,91/92,щоденно,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
459,"Одеса-Коблеве (б/в ""Зоря"")",Одеса,"Коблеве (б/в ""Зоря"")",8031016645206640738,Укртрансбезпека ,91/92,в період з 24.06 по 23.09 виконується щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2005 року,18.11.2011-17.11.2016,"ТОВ ""Турист"", адреса: Гагарінське плато, буд.5, м.Одеса, AД 75984",1+1
460,Вінниця-Київ,Вінниця,Київ,2737933657409255894,Укртрансбезпека ,91/92,щоденно,один ,"М3, ІІІ",Починаючи з 1993 року,15.04.2011-14.04.2016,"ТОВ ""Авто-Лайн"", адреса: вул.Кургузова, буд. 9-А, м.Вишгород, Київська область, АЕ 189814",1+1
461,Волочиськ-Підволочиськ,Волочиськ,Підволочиськ,1906563555313723133,Укртрансбезпека ,91/92,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1994 року,19.02.2015-18.02.2020,"ФОП Олійник В.М., адреса: вул. Огієнка, буд. 26, м.Волочиськ, Хмельницька область, АГ 587274",1+1
