id,first,second,company_id,regulative_institution,route_number,route_regularity,drives_per_day,bus_comfort_level,bus_age,license_data,route_operator,number_of_buses
905,Долинська,Кревий Ріг,6635163434298473148,Укртрансбезпека ,163/164,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1991 року,23.06.2011-22.06.2016,"ВАТ ""Долинське АТП 13541"", адреса: вул.40 років Жовтня, 141, м.Долинська, Кіровоградська область, АЕ 188240",1+1
906,Байдаково,Кременчук,5368413504699501884,Укртрансбезпека ,163/164,Прямий та зворотній рейси виконуються Сер.Пт.Суб.Нед.,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1999 року,26.12.2015-25.12.2020,"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",1+1
907,Калуш,Журавно,7022273975678270801,Укртрансбезпека ,163/164,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2002 року,09.05.2015-08.05.2020,"ПАТ ""Калуське АТП"", адреса: вул.Глібова, 52, м.Калуш, Івано-Франківська область, 77303, АГ 593999",1+1
908,Козятин,Немиринці,0,Укртрансбезпека ,163/164,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",,,,1+1
909,Дніпропетровськ,Кременчук,6075390304329000002,Укртрансбезпека ,163/164,щоденно,один ,"М3, ІІІ",Починаючи з 1993 року,26.02.2015-25.01.2019,"ТОВ ""Днепртуртранс"", адреса: вул. Мартенівська, буд. 46, м.Дніпропетровськ, АГ 592841",1+1
910,Краматорськ,Харків,6259338737330364393,Укртрансбезпека ,165/166,щоденно,один ,"М3, ІІІ",Починаючи з 1993 року,28.10.2015-27.10.2020,"ПрАТ ""Краматорське АТП-11410"", адреса:вул.Орджонікідзе, 6, м.Краматорськ, Донецька область, АГ 590921",1+1
911,Волочиськ,Київ,209210202818130875,Укртрансбезпека ,165/166,Прямий та зворотній рейси виконуються Пон.Пт.Нед.,один ,"М3, ІІІ",Починаючи з 1997 року,06.06.2015-05.06.2020,"ТОВ ""Автокар-777"", адреса: вул. Івана Кудрі, буд. 12, офіс 5, м.Київ, АЕ 572982",1+1
912,Новоград,Волинський,5635316071348471232,Укртрансбезпека ,165/166,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1999 року,26.03.2015-25.02.2020,"ФОП Барак В.М., адреса: вул. Леніна, буд.4, с.Анета, Новоград-волинський район, Житомирська область, АГ 593253",1+1
913,Заліщики,Львів,3152868715007480898,Укртрансбезпека ,165/166,щоденно,один ,"М3, ІІІ",Починаючи з 1986 року,19.05.2011-18.05.2016,"ПАТ ""Тернопільське АТП-16127"", адреса: вул.Галицька, 38, м.Тернопіль, АГ 587907",1+1
914,Ковель,Тернопіль,3966468263887882411,Укртрансбезпека ,165/166,щоденно,один ,"М3, ІІІ",Починаючи з 1995 року,20.10.2013-19.10.2018,"ФОП Мельник О.Т., адреса: вул. 1 Грудня, 2, кв.20, м.Ковель, Волинська область, АВ 610956",1+1
915,Онуфріївка,Кременчук,5368413504699501884,Укртрансбезпека ,165/166,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2000 року,21.04.2011-20.04.2016,"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",1+1
916,Дубно,Берестечко,3864775259528845023,Укртрансбезпека ,165/166,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1990 року,23.01.2014-21.11.2017,"ПрАТ ""Дубенське АТП 15606"", адреса: вул.Мирогощанська, 62, м.Дубно, Рівненська область, 35600, АЕ 267978",1+1
917,Калуш,Журавно,7022273975678270801,Укртрансбезпека ,165/166,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2002 року,09.05.2015-08.05.2020,"ПАТ ""Калуське АТП"", адреса: вул.Глібова, 52, м.Калуш, Івано-Франківська область, 77303, АГ 593999",1+1
918,Луганськ,Бердянськ,913252792709646591,Укртрансбезпека ,165/166,в період з 15.05 по 15.10 виконується щоденно,один ,"М3, ІІІ",Починаючи з 1991 року,31.12.2011-30.12.2016,"ФОП Налюшній І.О., адреса: вул.Кирова, 66, кв.49, м.Бердянськ, Запорізька область, 71100, АВ 532736",2+1
919,Дніпропетровськ,Кременчук,6075390304329000002,Укртрансбезпека ,165/166,щоденно,один ,"М3, ІІІ",Починаючи з 2007 року,20.11.2013-29.08.2018,"ТОВ ""Днепртуртранс"", адреса: вул. Мартенівська, буд. 46, м.Дніпропетровськ, АГ 592841",1+1
920,Ялта,Херсон,8370453281625379162,Укртрансбезпека ,167/168,щоденно,один ,"М3, ІІІ",Починаючи з 1984 року,01.09.2020-31.08.2015,"ПрАТ ""Херсонське АТП 16527"", адреса: Новомиколаївське шосе, 9, м.Херсон, 73034, АГ 504980",2+1
921,Славутич,Чернігів,6737186358999999803,Укртрансбезпека ,167/168,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1987 року,27.09.2014-04.09.2019,"ДП КП ""АТАСС"", адреса: вул. Ентузіастів, буд. 6, м.Славутич, Київська область, 07100, АЕ 421280",1+1
922,Канів,Київ,8849698065676361661,Укртрансбезпека ,167/168,щоденно,один ,"М2, М3, В, ІІІ",,,"ТОВ ""М+М"", адреса:вул.Леніна, 188/2, м.Канів, Черкаська область, АЕ 421902",1+1
923,Чортків,Івано,4186389629739726874,Укртрансбезпека ,167/168,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 2008 року,18.03.2014-17.03.2019,"ТОВ ""Чортківське АТП 16142"", адреса: вул. С.Бандери, 60, м.Чортків, Тернопільська область, АВ 531915",1+1
924,Лисичанськ,Сєдове,3230072212593714484,Укртрансбезпека ,167/168,щоденно,один ,"М3, ІІІ",Починаючи з 1992 року,15.01.2011-14.01.2016,"ПрАТ ""Маріуполь-Авто"", адреса: вул.Макара Мазая, буд.6, м.Маріуполь, Донецька область, АГ 588928",2+1
925,Харків,Бердянськ,238316299466227554,Укртрансбезпека ,167/168,щоденно,один ,"М3, ІІІ",Починаючи з 1998 року,01.09.2015-31.08.2020,"ФОП Дунаєв В.М., адреса: вул.Зернова, 53, кв.147, м.Харків, АВ 525745",2+1
926,Новоград,Волинський,5635316071348471232,Укртрансбезпека ,167/168,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1999 року,26.03.2015-25.02.2020,"ФОП Барак В.М., адреса: вул. Леніна, буд.4, с.Анета, Новоград-волинський район, Житомирська область, АГ 593253",1+1
927,Умань,Гайворон,3617738430936920670,Укртрансбезпека ,167/168,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2005 року,19.02.2015-18.02.2020,"ФОП Солод В.В., адреса: вул.Леніна, 111, кв.129, м.Монастирище, Черкаська область, АГ 584412",1+1
928,Онуфріївка,Кременчук,5368413504699501884,Укртрансбезпека ,167/168,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2000 року,21.04.2011-20.04.2016,"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",1+1
929,Дубно,Берестечко,3864775259528845023,Укртрансбезпека ,167/168,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1990 року,23.01.2014-21.11.2017,"ПрАТ ""Дубенське АТП 15606"", адреса: вул.Мирогощанська, 62, м.Дубно, Рівненська область, 35600, АЕ 267978",1+1
930,Гадян,Київ,8915222816277833350,Укртрансбезпека ,167/168,щоденно,один ,"М3, ІІІ",Починаючи з 1999 року,17.03.2011-16.03.2016,"ПрАТ ""Гадяцьке АТП 15337"", адреса: вул.Кіндратенка, 25, м.Гадяч, Полтавська область, АГ 593152",1+1
931,Калуш,Журавно,7022273975678270801,Укртрансбезпека ,167/168,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2002 року,09.05.2015-08.05.2020,"ПАТ ""Калуське АТП"", адреса: вул.Глібова, 52, м.Калуш, Івано-Франківська область, 77303, АГ 593999",1+1
932,Полонне,Рівне,0,Укртрансбезпека ,167/168,щоденно,один ,"М3, ІІІ",,,,1+1
933,Дніпропетровськ,Кременчук,6075390304329000002,Укртрансбезпека ,167/168,щоденно,один ,"М3, ІІІ",Починаючи з 1993 року,26.02.2015-25.01.2019,"ТОВ ""Днепртуртранс"", адреса: вул. Мартенівська, буд. 46, м.Дніпропетровськ, АГ 592841",1+1
934,Черкаси,Київ,3192466211565507591,Мінінфраструктури,169/170,щоденно,один ,"М3, ІІІ",Починаючи з 2004 року,21.08.2014-20.08.2019,"ТОВ ""Сервіс-Авто-2005"", адреса: вул.Героїв Дніпра, 65, кв.61, м.Черкаси, АЕ 187027",1+1
935,Новоград,Волинський,4187903426232469530,Укртрансбезпека ,169/170,щоденно,один ,"М3, ІІІ",Починаючи з 1993 року,29.05.2015-28.05.2020,"ФОП Барак М.П., адреса:вул. Миру, буд. 4, с.Анета, Новоград-волинський район, Житомирська область",1+1
936,Жовті Води,Стрілкове,7671870650799565155,Укртрансбезпека ,169/170,щоденно,один ,"М3, ІІІ",,,"ТДВ ""Новотроїцьке АТП 16541"", адреса: вул.Толбухіна, 7, смт.Новотроїцьке, Новотроїцький район, Херсонська область, АГ 592195",2+1
937,Умань,Гайворон,3617738430936920670,Укртрансбезпека ,169/170,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2005 року,19.02.2015-18.02.2020,"ФОП Солод В.В., адреса: вул.Леніна, 111, кв.129, м.Монастирище, Черкаська область, АГ 584412",1+1
938,Тернопіль,Трускавець,7051350657737657767,Укртрансбезпека ,169/170,щоденно,один ,"М3, ІІІ",Починаючи з 2005 року,21.09.2015-28.07.2020,"ФОП Троян О.І., адреса: вул.Героїв Крут, буд.7, кв.43, м.Тернопіль, АЕ 420950",1+1
939,Хмельницький,Івано,5735706934666082401,Укртрансбезпека ,169/170,щоденно,один ,"М3, ІІІ",Починаючи з 2007 року,18.11.2011-17.11.2016,"ТОВ ""АТП-12629"", адреса:вул.Юності, 52, с.Микитинці, м.Івано-Франківськ, 76492, АВ 510423",1+1
940,Онуфріївка,Кременчук,5368413504699501884,Укртрансбезпека ,169/170,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2000 року,21.04.2011-20.04.2016,"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",1+1
941,Дубно,Берестечко,3864775259528845023,Укртрансбезпека ,169/170,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1990 року,23.01.2014-21.11.2017,"ПрАТ ""Дубенське АТП 15606"", адреса: вул.Мирогощанська, 62, м.Дубно, Рівненська область, 35600, АЕ 267978",1+1
942,Калуш,Журавно,7022273975678270801,Укртрансбезпека ,169/170,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2002 року,09.05.20165-08.05.2020,"ПАТ ""Калуське АТП"", адреса: вул.Глібова, 52, м.Калуш, Івано-Франківська область, 77303, АГ 593999",1+1
943,Київ,Сокиряни,3511504008178631505,Укртрансбезпека ,169/170,щоденно,один ,"М3, ІІІ",Починаючи з 1997 року,17.02.2011-16.02.2016,"ПП ""ВАСИЛЬКІВТРАНСАВТО"", адреса: Перший провулок Селянський, 30, м.Васильків, Васильківський рай, АГ 587931",2+1
944,Донецьк,Чернівці,0,Укртрансбезпека ,169/170,щоденно,один ,"М3, ІІІ",,,,2+1
945,Полонне,Рівне,0,Укртрансбезпека ,169/170,щоденно,один ,"М3, ІІІ",,,,1+1
946,Славутич,Чернігів,6737186358999999803,Укртрансбезпека ,169/170,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1987 року,27.09.2014-04.09.2019,"ДП КП ""АТАСС"", адреса: вул. Ентузіастів, буд. 6, м.Славутич, Київська область, 07100, АЕ 421280",1+1
947,Канів,Київ,8849698065676361661,Укртрансбезпека ,171/172,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 1996 року,28.04.2015-18.02.2020,"ТОВ ""М+М"", адреса:вул.Леніна, 188/2, м.Канів, Черкаська область, АЕ 421902",1+1
948,Новоград,Волинський,4187903426232469530,Укртрансбезпека ,171/172,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1993 року,29.05.2015-28.05.2020,"ФОП Барак М.П., адреса:вул. Миру, буд. 4, с.Анета, Новоград-волинський район, Житомирська область",1+1
949,Тернопіль,Чернівці,3152868715007480898,Укртрансбезпека ,171/172,щоденно,один ,"М3, ІІІ",Починаючи з 2007 року,18.02.2014-17.02.2019,"ПАТ ""Тернопільське АТП-16127"", адреса: вул.Галицька, 38, м.Тернопіль, АГ 587907",1+1
950,Тернопіль,Трускавець,1419852165949039881,Укртрансбезпека ,171/172,щоденно,один ,"М3, ІІІ",Починаючи з 2006 року,18.02.2014-17.02.2019,"МКП ""Транс-Екіпаж"", адреса: вул.Миру, 244-А, с.Заколоть, Дрогобицький район, Львівська область, АЕ 421788",1+1
951,Дніпропетровськ,Запоріжжя,5602841073603786280,Укртрансбезпека ,171/172,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2004 року,16.11.2013-15.11.2018,"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",1+1
952,Київ,Миколаїв ч/з Первомайськ,9107037607426663261,Укртрансбезпека ,171/172,щоденно,один ,"М3, ІІІ",Починаючи з 1998 року,29.05.2014-28.05.2019,"ТДВ ""Оріон-Авто"", адреса: вул. Казарського, 4, м.Миколаїв, 54007, АВ 562984",2+1
953,Умань,Гайворон,3617738430936920670,Укртрансбезпека ,171/172,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2005 року,19.02.2015-18.02.2020,"ФОП Солод В.В., адреса: вул.Леніна, 111, кв.129, м.Монастирище, Черкаська область, АГ 584412",1+1
954,Хмельницький,Івано,647320623489740720,Укртрансбезпека ,171/172,щоденно,один ,"М3, ІІІ",Починаючи з 1991 року,07.10.2015-06.10.2020,"ТДВ ""Чемеровецьке АТП 16847"", адреса: Гусятинське шосе, 4, смт.Чемерівці, Чемеровецький район, Хмельницька область, 31600, АГ 592524",1+1
955,Житомир,Київ,5652729031598133104,Укртрансбезпека ,171/172,щоденно,один ,"М2, М3, В, ІІІ",Починаючиз 2011 року,14.08.2014-23.06.2019,"ТОВ ""Мазар"", адреса: вул. Східна, 88/2, м.Житомир, 10029, АВ 524068",1+1
956,Харків,Ромни,785746809663685823,Укртрансбезпека ,171/172,щоденно,один ,"М3, ІІІ",Починаючи з 2006 року,13.12.2011-12.12.2016,"ФОП Ващенко Н.В., адреса: вул.Ковпака, 89, кв.23, м.Суми, АА 784957",1+1
957,Полтава,Запоріжжя,0,Укртрансбезпека ,171/172,Прямий та зворотній рейси виконуються Пон.Чт.Пт.Суб.Нед.,один ,"М3, ІІІ",,,,1+1
958,Онуфріївка,Кременчук,5368413504699501884,Укртрансбезпека ,171/172,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2000 року,21.04.2011-20.04.2016,"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",1+1
959,Калуш,Журавно,7022273975678270801,Укртрансбезпека ,171/172,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2002 року,09.05.2015-08.05.2020,"ПАТ ""Калуське АТП"", адреса: вул.Глібова, 52, м.Калуш, Івано-Франківська область, 77303, АГ 593999",1+1
960,Славутич,Чернігів,6737186358999999803,Укртрансбезпека ,171/172,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1987 року,27.09.2014-04.09.2019,"ДП КП ""АТАСС"", адреса: вул. Ентузіастів, буд. 6, м.Славутич, Київська область, 07100, АЕ 421280",1+1
961,Канів,Київ,8849698065676361661,Укртрансбезпека ,173/174,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 1996 року,19.02.2015-18.02.2020,"ТОВ ""М+М"", адреса:вул.Леніна, 188/2, м.Канів, Черкаська область, АЕ 421902",1+1
962,Новоград,Волинський,4187903426232469530,Укртрансбезпека ,173/174,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1993 року,29.05.2015-28.05.2020,"ФОП Барак М.П., адреса:вул. Миру, буд. 4, с.Анета, Новоград-волинський район, Житомирська область",1+1
963,Дніпропетровськ,Запоріжжя,5602841073603786280,Укртрансбезпека ,173/174,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2004 року,16.11.2013-15.11.2018,"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",1+1
964,Херсон,Миколаїв,1012447903465448951,Укртрансбезпека ,173/174,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2011 року,31.12.2011-30.12.2016,"ТОВ ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",1+1
965,Новоархангельськ,Одеса,224296707656935963,Укртрансбезпека ,173/174,щоденно,один ,"М3, ІІІ",Починаючи з 1997 року,15.09.2011-14.09.2016,"ТОВ ""Турист"", адреса: Гагарінське плато, буд.5, м.Одеса, AД 75984",2+1
966,Житомир,Київ,3052950459888539465,Укртрансбезпека ,173/174,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 2008 року,28.04.2014-27.04.2019,"БПП ""Фаворит-Люкс"", адреса: вул.Гоголівська, буд.4, м.Житомир, АГ 584510",1+1
967,Полтава,Запоріжжя,6467125776214151134,Укртрансбезпека ,173/174,щоденно,один ,"М3, ІІІ",Починаючи з 2007 року,19.02.2015-18.02.2020,"ФОП Мамедов Д.Г. , адреса: вул. Чайковського, буд. 10 В, м.Селидове, Донецька область, 58400, АЕ 572212",1+1
968,Тернопіль,Рівне,3152868715007480898,Укртрансбезпека ,173/174,щоденно,один ,"М3, ІІІ",Починаючи з 1986 року,23.06.2011-22.06.2016,"ПАТ ""Тернопільське АТП-16127"", адреса: вул.Галицька, 38, м.Тернопіль, АГ 587907",1+1
969,Чернівці,Могилів,8674762066320692803,Укртрансбезпека ,173/174,щоденно,один ,"М3, ІІІ",Починаючи з 2002 року,27.05.2015-26.05.2020,"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",1+1
970,Стаханов,Бердянськ,3301578941988480434,Укртрансбезпека ,173/174,щоденно,один ,"М3, ІІІ",Починаючи з 1987 року,07.09.2010-06.09.2015,"ФОП Гончар С.О., адреса: вул.Єфремова, 40, м.Горлівка, Донецька область, 84635, АГ 509555",2+1
971,Канів,Київ,8849698065676361661,Укртрансбезпека ,175/176,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 1996 року,28.04.2015-18.02.2020,"ТОВ ""М+М"", адреса:вул.Леніна, 188/2, м.Канів, Черкаська область, АЕ 421902",1+1
972,Чортків,Трускавець,4186389629739726874,Укртрансбезпека ,175/176,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,20.03.2014-19.03.2019,"ТОВ ""Чортківське АТП 16142"", адреса: вул. С.Бандери, 60, м.Чортків, Тернопільська область, АВ 531915",1+1
973,Дніпропетровськ,Запоріжжя,5602841073603786280,Укртрансбезпека ,175/176,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2004 року,16.11.2013-15.11.2018,"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",1+1
974,Одеса,Черкаси,2853405811607641411,Укртрансбезпека ,175/176,щоденно,один ,"М3, ІІІ",Починаючи з 1996 року,21.11.2010-20.11.2017,"ФОП Хіміч В.Л., адреса: пр-т Шевченка, 4, кв.32, м.Звенигородка, Черкаська область, АГ 590457",1+1
975,Торез,Харків,6615705292165841547,Укртрансбезпека ,175/176,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,25.07.2010-24.07.2015,"ПП ""Авто-Експрес"", адреса: вул.Дзержинського, 44, м.Сніжне, Донецька область, 86500, АВ 523124",2+1
976,Житомир,Київ,5652729031598133104,Укртрансбезпека ,175/176,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 2010 року,24.06.2014-23.06.2019,"ТОВ ""Мазар"", адреса: вул. Східна, 88/2, м.Житомир, 10029, АВ 524068",1+1
977,Чернігів,Київ,297398508962621015,Укртрансбезпека ,175/176,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 2007 року,11.11.2015-10.11.2020,"ДП ""Техавтосервіс"" ВАТ ""Чернігівавтосервіс"", адреса: вул.Борисенка, 39, м.Чернігів, АД 075986",1+1
978,Рівне,Тернопіль,7480296352910711807,Укртрансбезпека ,175/176,щоденно,один ,"М3, ІІІ",Починаючи з 1998 року,27.05.2015-26.05.2020,"ПрАТ ""Збаразьке АТП-16140"", адреса: вул.Грушевського, 109, м.Збараж, Тернопільська область, АГ 592080",1+1
979,Чернівці,Могилів,4414260939644664391,Укртрансбезпека ,175/176,щоденно,один ,"М3, ІІІ",Починаючи з 2007 року,20.10.2011-19.10.2016,"ПП ""Нов-Транс-Авто"", адреса: вул. Котовського, буд. 106-А, м.Новоселиця, Чернівецька область, АЕ 421060",1+1
980,Київ,Овруч,6357722276847890640,Укртрансбезпека ,175/176,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,01.10.2011-30.09.2016,"ВАТ ""Овруцьке АТП 11847"", адреса: вул. Б.Хмельницького,162, м.Овруч, Житомирська область, АЕ 189738",1+1
981,Новоград,Волинський,4187903426232469530,Укртрансбезпека ,177/178,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1993 року,29.05.2015-28.05.2020,"ФОП Барак М.П., адреса:вул. Миру, буд. 4, с.Анета, Новоград-волинський район, Житомирська область",1+1
982,Дніпропетровськ,Запоріжжя,5602841073603786280,Укртрансбезпека ,177/178,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1996 року,11.10.2013-10.10.2018,"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",1+1
983,Кіровоград,Миколаїв,9154474779624825189,Укртрансбезпека ,177/178,Прямий та зворотній рейси виконуються Пт.Нед.,один ,"М3, ІІІ",Починаючи з 1991 року,20.10.2011-19.10.2016,"ТОВ ""Гаджиєв"", адреса: проспект Жовтневий , буд.21-М, м.Миколаїв, АЕ 266018",1+1
984,Житомир,Київ,5652729031598133104,Укртрансбезпека ,177/178,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 2008 року,24.06.2014-23.06.2019,"ТОВ ""Мазар"", адреса: вул. Східна, 88/2, м.Житомир, 10029, АВ 524068",1+1
985,Рівне,Тернопіль,4756992205383916014,Укртрансбезпека ,177/178,щоденно,один ,"М3, ІІІ",Починаючи з 2006 року,26.04.2014-25.04.2019,"ФОП Романчук О.П., адреса: вул.Шевченка, 6, с.Корнин, Рівненський район, Рівненська область, АВ 610745",1+1
986,Калуш,Чертіж,0,Укртрансбезпека ,177/178,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",,,,1+1
987,Дніпропетровськ,Світловодськ,5368413504699501884,Укртрансбезпека ,177/178,Прямий та зворотній рейси виконуються Пон.Пт.Суб.Нед.,один ,"М3, ІІІ",Починаючи з 2005 року,22.11.2012-21.11.2017,"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",1+1
988,Сніжне,Енергодар,6615705292165841547,Укртрансбезпека ,177/178,щоденно,один ,"М3, ІІІ",Починаючи з 1999 року,16.06.2013-15.06.2018,"ПП ""Авто-Експрес"", адреса: вул.Дзержинського, 44, м.Сніжне, Донецька область, 86500, АВ 523124",2+1
989,Черкаси,Кіровоград,0,Укртрансбезпека ,177/178,щоденно,один ,"М3, ІІІ",,,,1+1
990,Славутич,Чернігів,8848838152944798668,Укртрансбезпека ,177/178,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1996 року,13.12.2011-12.12.2016,"ДП ""ПРП ""АТАСС"" ВАТ ""АТАСС"", адреса: вул. Ентузіастів, 6, м.Славутич, Київська область, АГ 504782 ",1+1
991,Монастирище,Київ,4490315838152902305,Укртрансбезпека ,177/178,Прямий та зворотній рейси виконуються Пт.Нед.,один ,"М3, ІІІ",Починаючи з 2006 року,09.05.2015-08.05.2020,"ПрАТ ""Монастирищенське АТП 17140"", адреса: вул.Леніна, 173, м.Монастирище, Черкаська область, 19100, АГ 587259",1+1
992,Новоград,Волинський,4187903426232469530,Укртрансбезпека ,179/180,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1993 року,29.05.2015-28.05.2020,"ФОП Барак М.П., адреса:вул. Миру, буд. 4, с.Анета, Новоград-волинський район, Житомирська область",1+1
993,Чернівці,Хмельницький,8674762066320692803,Укртрансбезпека ,179/180,щоденно,один ,"М3, ІІІ",Починаючи з 1990 року,11.04.2015-10.04.2020,"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",1+1
994,Харків,Київ,6635427541052304634,Укртрансбезпека ,179/180,щоденно,один ,"М3, ІІІ",Починаючи з 1998 року,06.06.2015-05.06.2020,"ТОВ фірма ""Ікарус"", адреса: вул.Сіриківська, 12, м.Харків, 61017, АЕ 504618",1+1
995,Скадовськ,Миколаїв,0,Укртрансбезпека ,179/180,щоденно,один ,"М3, ІІІ",,,,1+1
996,Чортків,Івано,4186389629739726874,Укртрансбезпека ,179/180,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 2008 року,24.09.2015-23.09.2020,"ТОВ ""Чортківське АТП 16142"", адреса: вул. С.Бандери, 60, м.Чортків, Тернопільська область, АВ 531915",1+1
997,Житомир,Київ,3052950459888539465,Укртрансбезпека ,179/180,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 2008 року,28.04.2014-27.04.2019,"БПП ""Фаворит-Люкс"", адреса: вул.Гоголівська, буд.4, м.Житомир, АГ 584510",1+1
998,Кременчук,Млинок,5368413504699501884,Укртрансбезпека ,179/180,Прямий та зворотній рейси виконуються Пон.Вівт.Сер.Пт.Суб.Нед.,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1999 року,26.12.2015-25.12.2020,"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",1+1
999,Калуш,Чертіж,0,Укртрансбезпека ,179/180,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",,,,1+1
1000,Кривий Ріг,Комсомольськ,3474962678738042219,Укртрансбезпека ,179/180,щоденно,один ,"М3, ІІІ",Починаючи з 1998 року,19.05.2011-18.05.2016,"ТОВ ""Автотранссервіс"", адреса: Лоцманський узвіз, 8, м.Дніпропетровськ, АГ 588977",1+1
1001,Славутич,Чернігів,8848838152944798668,Укртрансбезпека ,179/180,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 1996 року,13.12.2011-12.12.2016,"ДП ""ПРП ""АТАСС"" ВАТ ""АТАСС"", адреса: вул. Ентузіастів, 6, м.Славутич, Київська область, АГ 504782 ",1+1
1002,Хоростків,Львів,5436962301627437588,Укртрансбезпека ,179/180,щоденно,один ,"М3, ІІІ",Починаючи з 1992 року,27.02.2011-26.02.2016,"ФОП Ворончак В.В., адреса: вул.Коновальця, 51, м.Хоростків, Гусятинський район, Тернопільська область, АГ 593770",1+1
